Unit,Cluster,Shank,MeanPhase,ResultantLength,N_Spikes
ec013.423_sh1_c3,3,1,-0.42355156236142083,0.16979565124695112,335
ec013.423_sh1_c7,7,1,-0.40733432666383973,0.34890838485993436,708
ec013.423_sh1_c8,8,1,0.3014995049745262,0.4238712228101363,3777
ec013.423_sh1_c9,9,1,0.8376020122060134,0.2048544197739292,13826
ec013.423_sh2_c2,2,2,0.6258193698713237,0.1294090405115461,71
ec013.423_sh2_c5,5,2,3.0304117175459044,0.08410548550489816,163
ec013.423_sh2_c6,6,2,-3.030814287398892,0.21688560245493715,213
ec013.423_sh2_c7,7,2,-2.300069812505631,0.09030580924168297,1741
ec013.423_sh2_c12,12,2,-2.423645704508412,0.10165731041525398,161
ec013.423_sh2_c13,13,2,2.270901494762972,0.11022049557235337,243
ec013.423_sh2_c14,14,2,0.28567428709894976,0.1918649696534903,136
ec013.423_sh2_c15,15,2,-0.7272056142268367,0.07346428932885843,1043
ec013.423_sh4_c2,2,4,2.1386717846437286,0.06595738387150334,50
ec013.423_sh4_c3,3,4,0.5893879790736153,0.23723904445964772,172
ec013.423_sh4_c4,4,4,-2.3729885953086445,0.3172202790260002,237
ec013.423_sh4_c7,7,4,0.704338464045183,0.3157861329620747,66
ec013.423_sh4_c9,9,4,1.023711243684156,0.03911218120869369,616
ec013.423_sh4_c10,10,4,-0.5409053551478917,0.07223234146410021,938
ec013.423_sh4_c11,11,4,0.6473202654095178,0.07543685724275331,1194
ec013.423_sh4_c12,12,4,0.3628151842461833,0.11881507865256591,2818
ec013.423_sh4_c13,13,4,0.5340786040015755,0.39390973856432615,2062
ec013.423_sh4_c14,14,4,-1.4823608576994394,0.07497999309449095,769
ec013.423_sh4_c15,15,4,0.8434724175161414,0.10791571067604816,455
ec013.423_sh4_c16,16,4,-0.43043501958792724,0.08283923196408893,707
ec013.423_sh4_c17,17,4,0.0715378322330371,0.2492915074979491,197
ec013.423_sh4_c18,18,4,3.0364970273344216,0.1745485958859506,929
ec013.423_sh4_c19,19,4,2.18693192718049,0.22228142408515209,1097
ec013.423_sh4_c20,20,4,0.825479423515381,0.05777282590446415,1150
ec013.423_sh5_c2,2,5,-2.5858953122998685,0.2054141767170902,333
ec013.423_sh5_c3,3,5,-2.3228285849882724,0.21666437061052268,92
ec013.423_sh5_c6,6,5,2.9529451390116876,0.20032076259119014,131
ec013.423_sh5_c9,9,5,-2.5727904458026334,0.13812324184353558,536
ec013.423_sh5_c10,10,5,2.794659096528445,0.10865459218178244,396
ec013.423_sh6_c5,5,6,-2.361326892981262,0.17330021368239582,429
ec013.423_sh6_c6,6,6,-0.09368146658396054,0.19960532792721836,65
ec013.423_sh6_c7,7,6,2.7896390457126237,0.24702661140354415,128
ec013.423_sh6_c10,10,6,-0.8800747561905166,0.061207130280657676,1910
ec013.423_sh6_c11,11,6,1.000316034956872,0.40575087114236613,6633
ec013.423_sh6_c12,12,6,-2.379617426340157,0.20371901229608147,563
ec013.423_sh6_c13,13,6,-2.810428619162173,0.14836132248838926,805
ec013.423_sh6_c14,14,6,-3.07455967254608,0.1650656035625884,231
ec013.423_sh6_c15,15,6,-2.5413677684365164,0.2959669699626368,257
ec013.423_sh6_c16,16,6,-2.792347143138065,0.10394029744757972,79
ec013.423_sh7_c5,5,7,-2.174937785101482,0.10007005905682444,129
ec013.423_sh7_c6,6,7,-1.017409969892275,0.0898116572093875,151
ec013.423_sh7_c8,8,7,2.9384651302234652,0.11559321827370125,287
ec013.423_sh7_c11,11,7,1.365432766039286,0.268633260132868,250
ec013.423_sh7_c12,12,7,2.599278603420839,0.035226464208543494,377
ec013.423_sh7_c14,14,7,-2.111299942767612,0.13929590628176974,281
ec013.423_sh7_c15,15,7,0.8699988510951128,0.04371992834925629,904
ec013.423_sh7_c16,16,7,-0.8619679709830564,0.02476855933309518,230
ec013.423_sh7_c17,17,7,-3.0039307427967215,0.0917295077354264,958
ec013.423_sh7_c18,18,7,-0.5247013073105151,0.1652636479901112,754
ec013.423_sh7_c19,19,7,1.2989454556478195,0.1229256818199773,248
ec013.423_sh7_c20,20,7,0.4281660134735619,0.10170749283369117,1063
ec013.423_sh7_c21,21,7,-2.2083100792975867,0.5103903709185554,7359
ec013.423_sh8_c2,2,8,-2.5417425495967967,0.07365247247209478,161
ec013.423_sh8_c4,4,8,-1.154591801413251,0.16417169966860548,267
ec013.423_sh8_c5,5,8,-3.109509008044132,0.06343282528891099,1596
ec013.423_sh8_c6,6,8,0.21883539990064743,0.07074112614864393,542
ec013.423_sh8_c7,7,8,-2.005693145394995,0.13137281067888218,230
